id,grupo,proposito,descripcion,bodegas,destinos,productos,unidades,resultado,makespan_h,tiempo_s,gap_p1_pct,gap_p2_pct,gap_p3_pct,izadas,fragmentacion,desbalance_cuadrillas_pct,desbalance_peso_t,no_overstowage,cobertura,contiguidad,capacidad,mensaje,limite_s
P0,pruebas,¿El sistema reproduce el plan real y cómo se compara con él? (línea base),Caso base Kiwi Arrow sin cambios.,8,4,5,29332,resuelta,59.6702,408.7,3.29,3.24,9.19,1836,11,5.81,3603.68,OK,OK,OK,OK,"Sin optimalidad probada, gap 9.19%",180
P1,pruebas,"¿Qué pasa con un solo destino, donde no hay riesgo de overstowage?",Toda la carga va a QINGDAO.,8,1,5,29332,resuelta,57.5213,375.2,0.05,0.0,1.98,1834,8,0.16,6019.6,OK,OK,OK,OK,"Sin optimalidad probada, gap 1.98%",180
P2,pruebas,"¿Qué pasa con un solo producto, el de mayor huella (buque casi lleno)?","Toda la carga pasa a ARAUCO_EKP (0,89 x 1,41 m), mismas unidades por destino.",8,4,1,29332,resuelta,58.1717,378.5,0.1,1.09,18.26,1834,10,1.6,4809.62,OK,OK,OK,OK,"Sin optimalidad probada, gap 18.26%",180
P3,pruebas,"¿Funciona con bodegas vacías, como en viajes reales parciales?",Bodegas 3 y 6 inactivas (así aparecen en hojas históricas del archivo del puerto); carga al 75%.,6,4,5,21999,rechazada,,180.3,,,,,,,,,,,,El solver no encontró ninguna solución factible en 180 s. Sube el límite e intenta de nuevo (180 s por pasada es lo mínimo verificado para el caso base).,180
P4,pruebas,¿Cómo reparte con el buque a media carga?,Carga al 50%.,8,4,5,14667,resuelta,27.647,411.1,0.48,5.8,16.02,922,8,2.31,7459.86,OK,OK,OK,OK,"Sin optimalidad probada, gap 16.02%",180
P5,pruebas,¿Qué pasa si casi toda la carga es del último destino (fondo pesado)?,"70% de las unidades a ULSAN (último), 10% a cada uno de los otros tres; misma mezcla de productos.",8,4,5,29331,resuelta,58.4665,461.2,1.29,4.38,26.37,1840,12,2.16,4841.94,OK,OK,OK,OK,"Sin optimalidad probada, gap 26.37%",180
P6,pruebas,¿Qué pasa con seis destinos (más restricciones de apilamiento)?,Mitad de QINGDAO pasa a DESTINO_5 (después de QINGDAO) y mitad de KUNSAN a DESTINO_6 (después de KUNSAN).,8,6,5,29332,rechazada,,180.5,,,,,,,,,,,,El solver no encontró ninguna solución factible en 180 s. Sube el límite e intenta de nuevo (180 s por pasada es lo mínimo verificado para el caso base).,180
P7,pruebas,¿El sistema rechaza con un mensaje claro una carga que no cabe?,Carga al 130%: excede el área del buque.,8,4,5,38130,rechazada,,0.0,,,,,,,,,,,,"Datos de entrada inválidos:   - La demanda requiere 46,352 m2 pero solo hay 39,815 m2 en las bodegas activas. Reduce el tonelaje o activa mas bodegas.",180
R_b1_180,rendimientos,¿Cuánto cambia el resultado si la bodega 1 rinde 180 t/h en vez de 140?,Bodega 1 a 180 t/h (tiempo de ciclo 10.82 min).,8,4,5,29332,rechazada,,180.5,,,,,,,,,,,,El solver no encontró ninguna solución factible en 180 s. Sube el límite e intenta de nuevo (180 s por pasada es lo mínimo verificado para el caso base).,180
P0_170s,pruebas,¿El sistema reproduce el plan real y cómo se compara con él? (línea base),Caso base Kiwi Arrow sin cambios.,8,4,5,29332,resuelta,60.1758,421.4,4.1,3.74,16.34,1843,11,6.6,3894.56,OK,OK,OK,OK,"Sin optimalidad probada, gap 16.34%",170
P3_170s,pruebas,"¿Funciona con bodegas vacías, como en viajes reales parciales?",Bodegas 3 y 6 inactivas (así aparecen en hojas históricas del archivo del puerto); carga al 75%.,6,4,5,21999,resuelta,61.0213,427.8,14.36,4.47,13.82,1390,9,68.15,3997.58,OK,OK,OK,OK,"Sin optimalidad probada, gap 13.82%",170
P6_170s,pruebas,¿Qué pasa con seis destinos (más restricciones de apilamiento)?,Mitad de QINGDAO pasa a DESTINO_5 (después de QINGDAO) y mitad de KUNSAN a DESTINO_6 (después de KUNSAN).,8,6,5,29332,resuelta,58.2418,398.2,0.9,3.95,29.96,1838,11,0.94,5437.84,OK,OK,OK,OK,"Sin optimalidad probada, gap 29.96%",170
R_b1_180_170s,rendimientos,¿Cuánto cambia el resultado si la bodega 1 rinde 180 t/h en vez de 140?,Bodega 1 a 180 t/h (tiempo de ciclo 10.82 min).,8,4,5,29332,resuelta,59.506,464.5,4.6,3.73,10.23,1850,11,5.25,3516.82,OK,OK,OK,OK,"Sin optimalidad probada, gap 10.23%",170
R_b1_220_170s,rendimientos,¿Cuánto cambia el resultado si la bodega 1 rinde 220 t/h en vez de 140?,Bodega 1 a 220 t/h (tiempo de ciclo 8.85 min).,8,4,5,29332,resuelta,57.8932,445.8,3.34,3.69,22.13,1844,11,7.66,4054.14,OK,OK,OK,OK,"Sin optimalidad probada, gap 22.13%",170
R_b1_270_170s,rendimientos,¿Cuánto cambia el resultado si la bodega 1 rinde 270 t/h en vez de 140?,Bodega 1 a 270 t/h (tiempo de ciclo 7.21 min).,8,4,5,29332,resuelta,55.9892,460.8,0.27,5.3,0.57,1845,14,6.7,4464.2,OK,OK,OK,OK,"Sin optimalidad probada, gap 0.57%",170
R_todas_menos10_170s,rendimientos,¿Cuánto cambia si todas las bodegas rinden 90% de lo supuesto?,Todos los rendimientos x 0.9.,8,4,5,29332,resuelta,66.2377,397.4,3.23,3.69,24.68,1842,11,4.73,4357.14,OK,OK,OK,OK,"Sin optimalidad probada, gap 24.68%",170
R_todas_mas10_170s,rendimientos,¿Cuánto cambia si todas las bodegas rinden 110% de lo supuesto?,Todos los rendimientos x 1.1.,8,4,5,29332,resuelta,54.4005,393.5,3.52,3.58,15.69,1842,11,6.92,3888.5,OK,OK,OK,OK,"Sin optimalidad probada, gap 15.69%",170
T4x2_170s,tamano,"Tamaño chico: 4 bodegas, 2 destinos","Bodegas 8-5 (2 cuadrillas); TAICHUNG+QINGDAO -> QINGDAO, KUNSAN+ULSAN -> ULSAN; carga al 50%.",4,2,5,14667,resuelta,54.8848,228.1,0.02,0.0,100.0,920,4,0.18,3365.32,OK,OK,OK,OK,"Sin optimalidad probada, gap 100.00%",170
T6x3_170s,tamano,"Tamaño medio: 6 bodegas, 3 destinos",Bodegas 8-3 (3 cuadrillas); KUNSAN -> ULSAN; carga al 75%.,6,3,5,21998,resuelta,55.243,399.4,0.7,1.38,100.0,1382,7,1.37,1115.04,OK,OK,OK,OK,"Sin optimalidad probada, gap 100.00%",170
T10x5_170s,tamano,"Tamaño grande: 10 bodegas, 5 destinos",Caso base + bodegas 9-10 (cuadrilla 5) + DESTINO_5 (mitad de QINGDAO); carga al 125%.,10,5,5,36665,resuelta,59.733,459.7,4.43,4.26,32.1,2305,14,9.08,4652.06,OK,OK,OK,OK,"Sin optimalidad probada, gap 32.10%",170
T12x6_170s,tamano,"Tamaño muy grande: 12 bodegas, 6 destinos",Caso base + bodegas 9-12 (cuadrillas 5-6) + DESTINO_5 y DESTINO_6; carga al 150%.,12,6,5,43999,resuelta,59.017,511.2,4.32,20.47,12.67,2799,70,2.51,3543.08,OK,OK,OK,OK,"Límite de tiempo alcanzado, gap 12.67%",170
